
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.42966223e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44285116e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42723780e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40403013e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35421009e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35214167e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42394581e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42331772e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42338629e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39666510e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42683277e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41179562e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43307476e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.42895317e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.42621717e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.48891659e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.48855791e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.49325829e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43536940e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43481035e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43480091e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43333683e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43331833e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.43404188e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.43358650e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.43383446e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43579226e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43068409e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43077221e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43120461e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.42899981e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.42903872e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.42954865e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43142929e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43140993e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43122826e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.37331305e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.38199825e+01
7.15580606e+00, 8.63408625e-01, 1.01503059e-01, 1.33980513e+01
1.04847651e+01, -5.38201869e-01, 1.01503059e-01, 1.43057537e+01
1.04609966e+01, -5.32836318e-01, 1.01503059e-01, 1.43052216e+01
1.04616556e+01, -5.52772582e-01, 1.01503059e-01, 1.43074818e+01
1.09866934e+01, 3.73773456e-01, 1.01503059e-01, 1.42942410e+01
1.10065193e+01, 3.70957643e-01, 1.01503059e-01, 1.42938509e+01
1.09969320e+01, 3.94344091e-01, 1.01503059e-01, 1.42961044e+01
1.12788496e+01, -4.80175287e-01, 1.01503059e-01, 1.43151760e+01
1.12570782e+01, -4.82692063e-01, 1.01503059e-01, 1.43147554e+01
1.12712688e+01, -5.03387630e-01, 1.01503059e-01, 1.43142738e+01
1.22162161e+01, -4.28769827e-01, 1.01503059e-01, 1.43324642e+01
1.22023697e+01, -4.31238264e-01, 1.01503059e-01, 1.43317556e+01
1.22128563e+01, -4.44269568e-01, 1.01503059e-01, 1.43298655e+01
1.17030535e+01, 2.40716457e-01, 1.01503059e-01, 1.42851982e+01
1.16923323e+01, 2.62180269e-01, 1.01503059e-01, 1.42829971e+01
1.16840315e+01, 2.40515828e-01, 1.01503059e-01, 1.42857332e+01
3.45193386e+00, 5.09953558e-01, 1.01503059e-01, 1.20505238e+01
3.44386816e+00, 4.85252589e-01, 1.01503059e-01, 1.22265272e+01
3.46923280e+00, 4.70846027e-01, 1.01503059e-01, 1.23159103e+01
7.90670204e+00, -6.10264361e-01, 1.01503059e-01, 1.43029356e+01
7.90867901e+00, -5.90854883e-01, 1.01503059e-01, 1.43129044e+01
7.89119911e+00, -5.93658388e-01, 1.01503059e-01, 1.43101768e+01
1.02748127e+01, -5.00178218e-01, 1.01503059e-01, 1.43009405e+01
1.02555542e+01, -4.91774291e-01, 1.01503059e-01, 1.43000622e+01
1.02544527e+01, -5.11718273e-01, 1.01503059e-01, 1.43021107e+01
9.22599614e-01, -1.34287333e+00, 1.01503059e-01, 1.46020012e+01
