
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43000679e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44315310e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42773438e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40449104e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35493317e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35262747e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42824488e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42770405e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42766981e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39800854e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42815247e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41278639e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43582239e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43176737e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.42888832e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.48991070e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.48971510e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.49406261e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43821859e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43797951e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43801880e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43785677e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43788996e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.43809748e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.42921629e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.42966518e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43177662e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43659658e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43662682e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43677130e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.43595600e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.43596859e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.43618698e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43324146e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43329821e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43294840e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.38254166e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.39263306e+01
