
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43042698e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44352980e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42832289e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40498629e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35564871e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35310545e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42683363e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42610016e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42632074e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39842510e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42837715e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41315641e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43792095e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43416204e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.43101425e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.48846827e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.48867340e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.49410257e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43925161e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43965874e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43988695e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.44107332e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.44116821e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.44101410e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.43139467e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.43153982e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43351793e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43926029e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43934631e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43949347e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.43862133e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.43870735e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.43905592e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43291912e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43299274e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43281059e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.39241066e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.40023594e+01
7.15580606e+00, 8.63408625e-01, 1.01503059e-01, 1.36405869e+01
1.04847651e+01, -5.38201869e-01, 1.01503059e-01, 1.43733168e+01
1.04609966e+01, -5.32836318e-01, 1.01503059e-01, 1.43749495e+01
1.04616556e+01, -5.52772582e-01, 1.01503059e-01, 1.43713827e+01
