
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43058739e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44362040e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42840700e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40521345e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35581961e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35336733e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42637291e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42524214e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42601309e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39853878e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42847815e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41332512e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43733454e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43377934e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.43058081e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.48160496e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.48184481e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.48755817e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43922138e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43931656e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43945608e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43992491e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43999233e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.44001980e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.43075218e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.43086071e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43296041e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43817348e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43824873e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43842115e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.43748856e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.43756008e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.43788710e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43301172e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43307791e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43285151e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.38653517e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.39537611e+01
7.15580606e+00, 8.63408625e-01, 1.01503059e-01, 1.35460253e+01
1.04847651e+01, -5.38201869e-01, 1.01503059e-01, 1.43629484e+01
1.04609966e+01, -5.32836318e-01, 1.01503059e-01, 1.43644886e+01
1.04616556e+01, -5.52772582e-01, 1.01503059e-01, 1.43596134e+01
1.09866934e+01, 3.73773456e-01, 1.01503059e-01, 1.43503590e+01
1.10065193e+01, 3.70957643e-01, 1.01503059e-01, 1.43504829e+01
1.09969320e+01, 3.94344091e-01, 1.01503059e-01, 1.43539190e+01
1.12788496e+01, -4.80175287e-01, 1.01503059e-01, 1.43436775e+01
1.12570782e+01, -4.82692063e-01, 1.01503059e-01, 1.43447008e+01
1.12712688e+01, -5.03387630e-01, 1.01503059e-01, 1.43449593e+01
1.22162161e+01, -4.28769827e-01, 1.01503059e-01, 1.43017111e+01
1.22023697e+01, -4.31238264e-01, 1.01503059e-01, 1.43027620e+01
1.22128563e+01, -4.44269568e-01, 1.01503059e-01, 1.43048191e+01
1.17030535e+01, 2.40716457e-01, 1.01503059e-01, 1.43349485e+01
1.16923323e+01, 2.62180269e-01, 1.01503059e-01, 1.43401661e+01
1.16840315e+01, 2.40515828e-01, 1.01503059e-01, 1.43345003e+01
3.45193386e+00, 5.09953558e-01, 1.01503059e-01, 1.17465906e+01
3.44386816e+00, 4.85252589e-01, 1.01503059e-01, 1.16588106e+01
3.46923280e+00, 4.70846027e-01, 1.01503059e-01, 1.15298157e+01
7.90670204e+00, -6.10264361e-01, 1.01503059e-01, 1.43196220e+01
7.90867901e+00, -5.90854883e-01, 1.01503059e-01, 1.43248348e+01
7.89119911e+00, -5.93658388e-01, 1.01503059e-01, 1.43240509e+01
1.02748127e+01, -5.00178218e-01, 1.01503059e-01, 1.43775167e+01
1.02555542e+01, -4.91774291e-01, 1.01503059e-01, 1.43799715e+01
1.02544527e+01, -5.11718273e-01, 1.01503059e-01, 1.43751564e+01
9.22599614e-01, -1.34287333e+00, 1.01503059e-01, 1.45417900e+01
9.02357101e-01, -1.34790981e+00, 1.01503059e-01, 1.45468006e+01
9.17751729e-01, -1.36295712e+00, 1.01503059e-01, 1.45433416e+01
1.05727315e+00, 1.26035631e+00, 1.01503059e-01, 1.49853258e+01
1.04718232e+00, 1.27884853e+00, 1.01503059e-01, 1.49791460e+01
1.03761649e+00, 1.25880921e+00, 1.01503059e-01, 1.49899302e+01
7.25151348e+00, 5.40263414e-01, 1.01503059e-01, 1.43351011e+01
7.21711779e+00, 5.94764590e-01, 1.01503059e-01, 1.43385649e+01
7.21450949e+00, 5.45714319e-01, 1.01503059e-01, 1.43368311e+01
-1.21602881e+00, 7.62562128e-03, 1.01503059e-01, 1.42511454e+01
-1.23359084e+00, 1.34881325e-02, 1.01503059e-01, 1.42551842e+01
-1.22879982e+00, -9.14025400e-03, 1.01503059e-01, 1.42505436e+01
2.38563180e+00, -6.05723023e-01, 1.01503059e-01, 1.44517565e+01
2.38913465e+00, -6.43408239e-01, 1.01503059e-01, 1.44852571e+01
2.40092206e+00, -6.27610385e-01, 1.01503059e-01, 1.44654026e+01
-1.05746055e+00, -6.16625309e-01, 1.01503059e-01, 1.41664095e+01
-1.04901087e+00, -5.99463582e-01, 1.01503059e-01, 1.41619854e+01
-1.06741023e+00, -6.10403299e-01, 1.01503059e-01, 1.41692390e+01
6.44153416e-01, -1.41797256e+00, 1.01503059e-01, 1.45791578e+01
6.26035213e-01, -1.42367470e+00, 1.01503059e-01, 1.45773249e+01
6.43061817e-01, -1.44382429e+00, 1.01503059e-01, 1.45719805e+01
8.48112297e+00, 4.44921702e-01, 1.01503059e-01, 1.43131142e+01
8.46759796e+00, 4.62519497e-01, 1.01503059e-01, 1.43131819e+01
8.45747185e+00, 4.42237407e-01, 1.01503059e-01, 1.43132439e+01
1.13139448e+01, 2.47508153e-01, 1.01503059e-01, 1.43258095e+01
1.13213997e+01, 2.33548120e-01, 1.01503059e-01, 1.43217649e+01
1.13233528e+01, 2.58715361e-01, 1.01503059e-01, 1.43291245e+01
1.08708639e+01, -4.43778306e-01, 1.01503059e-01, 1.43569145e+01
1.08549824e+01, -4.52517629e-01, 1.01503059e-01, 1.43592110e+01
1.08629446e+01, -4.63305175e-01, 1.01503059e-01, 1.43603373e+01
4.44293404e+00, -6.59065306e-01, 1.01503059e-01, 1.43659410e+01
4.40227413e+00, -6.71229601e-01, 1.01503059e-01, 1.43526030e+01
4.43977261e+00, -6.89371109e-01, 1.01503059e-01, 1.43393002e+01
2.62450099e-01, 1.41506243e+00, 1.01503059e-01, 1.48215408e+01
2.84263551e-01, 1.40931380e+00, 1.01503059e-01, 1.48210287e+01
2.71233857e-01, 1.42793715e+00, 1.01503059e-01, 1.48149948e+01
8.64661503e+00, -6.06381357e-01, 1.01503059e-01, 1.43300037e+01
8.62256718e+00, -6.11942351e-01, 1.01503059e-01, 1.43273726e+01
8.63925552e+00, -6.26859367e-01, 1.01503059e-01, 1.43221149e+01
9.57004356e+00, -4.95873302e-01, 1.01503059e-01, 1.43851538e+01
