
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-1.06741023e+00, -6.10403299e-01, 1.01503059e-01, 1.41828594e+01
6.44153416e-01, -1.41797256e+00, 1.01503059e-01, 1.45689659e+01
6.26035213e-01, -1.42367470e+00, 1.01503059e-01, 1.45661192e+01
6.43061817e-01, -1.44382429e+00, 1.01503059e-01, 1.45661449e+01
8.48112297e+00, 4.44921702e-01, 1.01503059e-01, 1.43344193e+01
8.46759796e+00, 4.62519497e-01, 1.01503059e-01, 1.43356323e+01
8.45747185e+00, 4.42237407e-01, 1.01503059e-01, 1.43352098e+01
1.13139448e+01, 2.47508153e-01, 1.01503059e-01, 1.42722864e+01
1.13213997e+01, 2.33548120e-01, 1.01503059e-01, 1.42711201e+01
1.13233528e+01, 2.58715361e-01, 1.01503059e-01, 1.42738752e+01
1.08708639e+01, -4.43778306e-01, 1.01503059e-01, 1.43449326e+01
1.08549824e+01, -4.52517629e-01, 1.01503059e-01, 1.43416662e+01
1.08629446e+01, -4.63305175e-01, 1.01503059e-01, 1.43380880e+01
4.44293404e+00, -6.59065306e-01, 1.01503059e-01, 1.44507380e+01
4.40227413e+00, -6.71229601e-01, 1.01503059e-01, 1.44580030e+01
4.43977261e+00, -6.89371109e-01, 1.01503059e-01, 1.44593067e+01
2.62450099e-01, 1.41506243e+00, 1.01503059e-01, 1.48404322e+01
2.84263551e-01, 1.40931380e+00, 1.01503059e-01, 1.48384075e+01
2.71233857e-01, 1.42793715e+00, 1.01503059e-01, 1.48335142e+01
8.64661503e+00, -6.06381357e-01, 1.01503059e-01, 1.43317165e+01
8.62256718e+00, -6.11942351e-01, 1.01503059e-01, 1.43328218e+01
8.63925552e+00, -6.26859367e-01, 1.01503059e-01, 1.43330135e+01
9.57004356e+00, -4.95873302e-01, 1.01503059e-01, 1.43051271e+01
9.55089378e+00, -4.86275285e-01, 1.01503059e-01, 1.43057146e+01
9.55138683e+00, -5.06518066e-01, 1.01503059e-01, 1.43038807e+01
4.45303249e+00, -6.31896198e-01, 1.01503059e-01, 1.44225159e+01
4.42823792e+00, -6.28741860e-01, 1.01503059e-01, 1.44253044e+01
-4.68497038e-01, 1.22571123e+00, 1.01503059e-01, 1.47044897e+01
-4.54944611e-01, 1.23674202e+00, 1.01503059e-01, 1.47079277e+01
-4.75701630e-01, 1.24012828e+00, 1.01503059e-01, 1.47016859e+01
4.21257877e+00, -6.02220416e-01, 1.01503059e-01, 1.44116840e+01
4.20245743e+00, -5.84358215e-01, 1.01503059e-01, 1.43884706e+01
4.19921541e+00, -6.09622240e-01, 1.01503059e-01, 1.44246635e+01
4.32602501e+00, 4.29494649e-01, 1.01503059e-01, 1.37600908e+01
4.34247398e+00, 4.36696440e-01, 1.01503059e-01, 1.37150402e+01
4.33093786e+00, 4.49335217e-01, 1.01503059e-01, 1.34681187e+01
7.85611439e+00, -5.30943573e-01, 1.01503059e-01, 1.43252077e+01
7.85076141e+00, -5.17044425e-01, 1.01503059e-01, 1.43231974e+01
7.84717369e+00, -5.39705932e-01, 1.01503059e-01, 1.43271723e+01
7.57735372e-01, -1.30217695e+00, 1.01503059e-01, 1.45869389e+01
7.43628204e-01, -1.30587316e+00, 1.01503059e-01, 1.45860481e+01
7.60548353e-01, -1.32076526e+00, 1.01503059e-01, 1.45839252e+01
9.69074821e+00, -4.79492575e-01, 1.01503059e-01, 1.43090420e+01
9.67164898e+00, -4.81397659e-01, 1.01503059e-01, 1.43085346e+01
9.68237305e+00, -5.01014471e-01, 1.01503059e-01, 1.43064575e+01
7.64225340e+00, -5.86806953e-01, 1.01503059e-01, 1.43340740e+01
7.62707472e+00, -5.88450849e-01, 1.01503059e-01, 1.43339415e+01
7.63667870e+00, -6.04218364e-01, 1.01503059e-01, 1.43305073e+01
4.93126535e+00, -6.02681100e-01, 1.01503059e-01, 1.42744617e+01
4.91424751e+00, -6.06147289e-01, 1.01503059e-01, 1.42797327e+01
4.92925882e+00, -6.24851704e-01, 1.01503059e-01, 1.43001070e+01
6.59977770e+00, -5.89130580e-01, 1.01503059e-01, 1.42851181e+01
6.58197975e+00, -5.94661534e-01, 1.01503059e-01, 1.42831745e+01
6.59251785e+00, -6.07195139e-01, 1.01503059e-01, 1.42807550e+01
6.27240992e+00, 4.61084485e-01, 1.01503059e-01, 1.43384562e+01
6.25720978e+00, 4.55837727e-01, 1.01503059e-01, 1.43385515e+01
6.26163864e+00, 4.37220037e-01, 1.01503059e-01, 1.43405371e+01
2.82989049e+00, -5.79320848e-01, 1.01503059e-01, 1.43364038e+01
2.82983017e+00, -6.01000309e-01, 1.01503059e-01, 1.43403158e+01
2.83863902e+00, -5.93734920e-01, 1.01503059e-01, 1.43366165e+01
8.15029526e+00, -5.19490778e-01, 1.01503059e-01, 1.43194351e+01
8.13115597e+00, -5.17859340e-01, 1.01503059e-01, 1.43194513e+01
8.13776588e+00, -5.39429426e-01, 1.01503059e-01, 1.43234959e+01
4.99049044e+00, 4.50505704e-01, 1.01503059e-01, 1.42144709e+01
5.01233053e+00, 4.50789839e-01, 1.01503059e-01, 1.42183027e+01
4.99681425e+00, 4.71735537e-01, 1.01503059e-01, 1.41830721e+01
1.12438698e+01, -3.39655936e-01, 1.01503059e-01, 1.43912907e+01
1.12251453e+01, -3.30693543e-01, 1.01503059e-01, 1.43931484e+01
1.12245245e+01, -3.49547863e-01, 1.01503059e-01, 1.43897943e+01
3.98678827e+00, -5.83592892e-01, 1.01503059e-01, 1.44099874e+01
3.97974443e+00, -5.68646252e-01, 1.01503059e-01, 1.43961525e+01
3.97817826e+00, -5.91546655e-01, 1.01503059e-01, 1.44212427e+01
1.25085878e+01, -1.72412291e-01, 1.01503059e-01, 1.43012152e+01
1.25293818e+01, -1.84213787e-01, 1.01503059e-01, 1.43033953e+01
1.25292492e+01, -1.64503917e-01, 1.01503059e-01, 1.42982006e+01
4.15464211e+00, 4.08662349e-01, 1.01503059e-01, 1.37374287e+01
4.17485046e+00, 4.05176520e-01, 1.01503059e-01, 1.38198376e+01
4.16360331e+00, 4.27647144e-01, 1.01503059e-01, 1.34495420e+01
8.87216759e+00, -4.78749096e-01, 1.01503059e-01, 1.43066921e+01
8.88399029e+00, -4.83672023e-01, 1.01503059e-01, 1.43062887e+01
8.87870216e+00, -4.62151706e-01, 1.01503059e-01, 1.43076582e+01
7.83319807e+00, -4.57981110e-01, 1.01503059e-01, 1.43234234e+01
7.81281233e+00, -4.61520374e-01, 1.01503059e-01, 1.43231773e+01
7.82871008e+00, -4.81771231e-01, 1.01503059e-01, 1.43212194e+01
5.61675644e+00, 4.46633339e-01, 1.01503059e-01, 1.42928839e+01
5.63094616e+00, 4.44371641e-01, 1.01503059e-01, 1.42956676e+01
5.62539768e+00, 4.67402130e-01, 1.01503059e-01, 1.42904921e+01
6.27197504e-01, -1.28472781e+00, 1.01503059e-01, 1.45651445e+01
6.08544946e-01, -1.29986787e+00, 1.01503059e-01, 1.45602465e+01
6.33090913e-01, -1.30400908e+00, 1.01503059e-01, 1.45664701e+01
2.75275874e+00, -5.28505266e-01, 1.01503059e-01, 1.43623924e+01
2.75600958e+00, -5.12061834e-01, 1.01503059e-01, 1.43714886e+01
2.74145985e+00, -5.06967127e-01, 1.01503059e-01, 1.43728638e+01
1.79445946e+00, 3.39596301e-01, 1.01503059e-01, 1.20824938e+01
1.81185579e+00, 3.36417764e-01, 1.01503059e-01, 1.18099508e+01
1.80467415e+00, 3.57887536e-01, 1.01503059e-01, 1.19118795e+01
3.20747662e+00, 3.56942177e-01, 1.01503059e-01, 1.18408298e+01
